,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1869,Melbourne,MELBOURNE,-37.81287846,144.9508035,Apartment,Private room,1,1,249,1,30,60,90,0,,strict_14_with_grace_period,1,,4279
1870,Melbourne,MELBOURNE,-37.81569337,144.9542711,Apartment,Entire home/apt,1,1,109,1,3,6,11,175,96,moderate,1,4.34,4279
1871,Melbourne,MELBOURNE,-37.80944593,144.9573379,Apartment,Entire home/apt,0,1,109,2,9,17,23,122,96,moderate,1,3.11,4279
1872,Melbourne,MELBOURNE,-37.81608945,144.9529725,Apartment,Entire home/apt,2,2,156,3,7,12,12,99,97,strict_14_with_grace_period,2,2.46,4279
1873,Port Phillip,MELBOURNE,-37.85187189,144.979169,Apartment,Entire home/apt,2,2,150,2,0,0,0,4,100,flexible,1,0.1,4279
1874,Melbourne,MELBOURNE,-37.81428429,144.9544366,Apartment,Entire home/apt,2,3,166,5,0,0,0,15,99,moderate,2,0.37,4279
1875,Melbourne,MELBOURNE,-37.81577482,144.9641554,Apartment,Entire home/apt,2,2,150,1,16,24,44,184,96,moderate,17,4.55,4279
1876,Melbourne,MELBOURNE,-37.81636303,144.9712256,Apartment,Entire home/apt,1,1,138,3,8,25,50,144,100,moderate,2,3.64,4279
1877,Melbourne,MELBOURNE,-37.82089285,144.9552451,Apartment,Entire home/apt,1,1,165,2,0,20,50,39,99,flexible,1,1.01,4279
1878,Melbourne,MELBOURNE,-37.81377151,144.9698561,Apartment,Private room,1,1,120,2,0,0,0,0,,moderate,1,,4279
1879,Melbourne,MELBOURNE,-37.81716589,144.9656777,Apartment,Entire home/apt,2,2,170,3,0,0,0,1,100,flexible,1,0.03,4279
1880,Melbourne,MELBOURNE,-37.8144542,144.9515464,Apartment,Entire home/apt,0,2,98,1,18,39,39,122,95,strict_14_with_grace_period,25,3.13,4279
1881,Melbourne,MELBOURNE,-37.80790835,144.9670615,Apartment,Entire home/apt,2,2,163,2,19,49,79,120,97,moderate,34,3.08,4279
1882,Melbourne,MELBOURNE,-37.81454016,144.9527871,Apartment,Shared room,1,8,35,3,18,48,78,6,87,strict_14_with_grace_period,25,0.16,4279
1883,Melbourne,MELBOURNE,-37.81484871,144.9522998,Apartment,Entire home/apt,1,2,125,1,17,40,70,186,89,strict_14_with_grace_period,40,4.65,4279
1884,Melbourne,MELBOURNE,-37.81552235,144.9529112,Apartment,Entire home/apt,1,2,120,1,0,0,0,222,95,strict_14_with_grace_period,13,5.67,4279
1885,Melbourne,MELBOURNE,-37.80966701,144.9585294,Apartment,Entire home/apt,1,1,80,1,0,0,0,4,85,flexible,1,0.1,4279
1886,Melbourne,MELBOURNE,-37.81560717,144.9537272,Apartment,Private room,1,1,72,1,0,0,0,17,99,strict_14_with_grace_period,13,0.43,4279
1887,Melbourne,MELBOURNE,-37.81826663,144.9631613,Apartment,Entire home/apt,1,3,112,2,0,0,0,57,94,strict_14_with_grace_period,1,1.6,4279
1888,Melbourne,MELBOURNE,-37.80856445,144.9667423,Apartment,Private room,1,1,60,4,0,0,0,1,100,flexible,1,0.03,4279
